Designator,Mid X,Mid Y,Layer,Rotation
J2,29.1973,96.2914,TopLayer,0
D12,97.9738,27.2802,TopLayer,0
D11,90.4771,27.2802,TopLayer,0
D10,83.1378,27.2802,TopLayer,0
D9,75.5023,27.2802,TopLayer,0
D8,36.8735,27.2698,TopLayer,0
D6,29.2713,27.2489,TopLayer,0
D5,21.6698,27.2593,TopLayer,0
D3,14.0343,27.2802,TopLayer,0
C63,106.8081,31.9166,TopLayer,0
U18,44.2685,23.6666,TopLayer,0
U16,35.9156,37.8206,TopLayer,0
C79,34.3856,84.1859,TopLayer,0
C77,28.5888,54.8749,TopLayer,0
R104,18.5166,72.8218,TopLayer,0
U5,13.7161,75.565,TopLayer,0
R99,80.1066,65.7352,TopLayer,0
C29,94.6385,33.2334,TopLayer,0
C27,35.1995,33.2334,TopLayer,0
C25,77.7825,33.2334,TopLayer,0
C23,17.9807,33.2334,TopLayer,0
R6,92.6785,64.0852,TopLayer,0
R84,68.0568,62.7126,TopLayer,0
L4,80.1059,72.1911,TopLayer,0
C74,68.0568,64.2956,TopLayer,0
C73,68.0466,65.8623,TopLayer,0
R51,84.998,34.7504,TopLayer,0
U17,95.5802,37.7952,TopLayer,0
U15,78.5622,37.7952,TopLayer,0
C56,84.998,36.3804,TopLayer,0
J6,97.027,91.165,TopLayer,0
U14,18.7706,37.8206,TopLayer,0
C7,21.1582,65.6591,TopLayer,0
C16,28.6104,61.4386,TopLayer,0
C20,17.6276,60.6045,TopLayer,0
C30,28.6121,66.4068,TopLayer,0
C31,28.6066,72.9193,TopLayer,0
C36,28.5888,56.4376,TopLayer,0
D18,72.3994,51.6119,TopLayer,0
U6,97.4863,65.2674,TopLayer,0
R5,17.6276,63.8302,TopLayer,0
R11,102.4636,79.0702,TopLayer,0
R12,97.3733,73.7352,TopLayer,0
R15,98.7236,60.5645,TopLayer,0
R44,58.6704,73.0936,TopLayer,0
R45,28.5901,68.3983,TopLayer,0
R81,58.674,70.9676,TopLayer,0
X1,49.4387,83.5427,TopLayer,0
R82,50.6407,88.9508,TopLayer,0
C46,43.6499,30.3783,TopLayer,180
C65,46.3182,27.7826,TopLayer,180
R114,44.3291,21.1049,TopLayer,180
Q3,64.4516,60.2195,TopLayer,180
Q2,64.5967,63.4873,TopLayer,180
U13,13.7415,63.0682,TopLayer,180
C61,18.5166,77.6985,TopLayer,180
R95,18.5166,71.2216,TopLayer,180
C57,12.827,72.39,TopLayer,180
C55,12.827,70.4342,TopLayer,180
C50,12.0142,84.6327,TopLayer,180
R98,80.1116,67.3354,TopLayer,180
J5,73.304,89.109,TopLayer,180
C52,83.312,72.1867,TopLayer,180
C48,46.3168,26.1578,TopLayer,180
D7,97.1276,76.652,TopLayer,180
R90,68.0466,67.4624,TopLayer,180
R89,64.8109,67.4624,TopLayer,180
R92,80.1066,69.0226,TopLayer,180
C78,80.1066,70.63,TopLayer,180
C75,80.1443,73.7728,TopLayer,180
R68,89.154,34.7504,TopLayer,180
C66,89.154,36.3804,TopLayer,180
S2,40.9063,93.8149,TopLayer,180
S1,52.1593,93.8149,TopLayer,180
Q1,92.7101,61.722,TopLayer,180
C2,12.1158,82.818,TopLayer,180
C3,12.1158,80.8298,TopLayer,180
C4,12.1158,78.8416,TopLayer,180
C8,12.7508,65.8621,TopLayer,180
C9,28.5888,58.0179,TopLayer,180
C15,58.6767,76.3311,TopLayer,180
C17,12.8778,67.6402,TopLayer,180
C18,12.8118,58.6233,TopLayer,180
C19,12.7254,60.4519,TopLayer,180
C22,64.8143,43.722,TopLayer,180
C34,58.6547,62.4055,TopLayer,180
C35,58.6687,67.4162,TopLayer,180
C38,58.6767,74.7123,TopLayer,180
C42,34.3856,82.63,TopLayer,180
C54,31.7628,51.8839,TopLayer,180
D4,89.9752,76.6104,TopLayer,180
D32,104.28,76.6935,TopLayer,180
U12,20.7773,68.326,TopLayer,180
R4,17.6276,62.2423,TopLayer,180
R7,92.6338,59.309,TopLayer,180
R60,39.7982,88.9508,TopLayer,180
R62,31.7628,50.2737,TopLayer,180
C45,53.8628,88.9618,TopLayer,180
D1,59.0357,93.224,TopLayer,180
X3,41.6948,84.1739,TopLayer,180
U23,29.1722,89.281,TopLayer,270
R110,33.7693,91.0336,TopLayer,270
R109,35.3441,91.0336,TopLayer,270
F1,23.8887,91.1521,TopLayer,270
C80,35.3441,87.757,TopLayer,270
R107,109.1673,21.7311,TopLayer,270
R108,109.1666,29.0029,TopLayer,270
R106,70.4006,21.7436,TopLayer,270
C67,62.9212,24.0873,TopLayer,270
R105,70.3659,29.01,TopLayer,270
U4,43.1201,27.4898,TopLayer,270
R56,86.6763,30.421,TopLayer,270
R9,50.5028,23.595,TopLayer,270
R96,48.8995,23.6166,TopLayer,270
R113,47.1986,23.654,TopLayer,270
R121,52.2457,80.2894,TopLayer,270
R120,53.8352,80.2894,TopLayer,270
R119,55.4248,80.2894,TopLayer,270
R118,57.0144,80.2894,TopLayer,270
R116,61.8597,61.2737,TopLayer,270
C59,19.3039,75.2728,TopLayer,270
BT1,85.047,51.5874,TopLayer,270
R101,62.3773,68.1468,TopLayer,270
R100,62.2335,72.2059,TopLayer,270
R97,76.9264,62.4332,TopLayer,270
R94,81.2061,76.4848,TopLayer,270
C49,28.8092,35.5805,TopLayer,270
R18,54.6192,27.164,TopLayer,270
R19,56.2017,27.164,TopLayer,270
R87,73.6397,62.4332,TopLayer,270
R85,78.5317,62.4332,TopLayer,270
R83,72.0344,62.4332,TopLayer,270
R80,70.4291,62.4332,TopLayer,270
X2,66.0908,70.5104,TopLayer,270
U3,73.9902,68.1482,TopLayer,270
R86,66.3321,76.4848,TopLayer,270
R79,64.6049,76.4848,TopLayer,270
C76,72.9291,76.4848,TopLayer,270
R73,97.9212,30.421,TopLayer,270
R71,101.6696,30.421,TopLayer,270
R67,90.4246,30.421,TopLayer,270
R66,101.0866,35.5551,TopLayer,270
R65,94.1729,30.421,TopLayer,270
R58,83.0853,30.421,TopLayer,270
R53,73.0559,35.5551,TopLayer,270
R52,75.4498,30.421,TopLayer,270
R50,79.255,30.421,TopLayer,270
C64,102.6869,35.5551,TopLayer,270
C58,71.4259,35.5551,TopLayer,270
C6,21.9203,71.7804,TopLayer,270
C10,51.408,50.1562,TopLayer,270
C24,25.8774,35.5805,TopLayer,270
C26,11.6641,35.5805,TopLayer,270
C32,38.3796,80.2401,TopLayer,270
C33,44.2763,80.2946,TopLayer,270
C40,32.0775,80.2388,TopLayer,270
C47,43.0173,35.5805,TopLayer,270
L2,35.2068,80.2388,TopLayer,270
R1,59.7916,88.316,TopLayer,270
R3,61.4172,88.316,TopLayer,270
R10,96.4722,71.1386,TopLayer,270
R13,98.394,71.1348,TopLayer,270
R14,100.1914,71.1983,TopLayer,270
R16,57.7842,27.164,TopLayer,270
R17,59.3666,27.164,TopLayer,270
R20,16.0876,30.421,TopLayer,270
R22,17.787,30.421,TopLayer,270
R23,24.277,35.5805,TopLayer,270
R24,13.9818,30.421,TopLayer,270
R25,13.2643,35.5805,TopLayer,270
R28,25.3623,30.421,TopLayer,270
R30,21.6173,30.421,TopLayer,270
R32,31.3496,30.421,TopLayer,270
R34,33.0006,30.421,TopLayer,270
R35,41.422,35.5805,TopLayer,270
R36,29.2188,30.421,TopLayer,270
R37,30.4093,35.5805,TopLayer,270
R40,40.6438,30.421,TopLayer,270
R42,36.821,30.421,TopLayer,270
R59,21.5023,50.2249,TopLayer,270
U2,57.0357,36.7284,TopLayer,270
U7,26.3085,49.9103,TopLayer,270
C1,16.6371,80.3148,TopLayer,270
C11,44.925,84.116,TopLayer,270
J1,11.532,91.593,TopLayer,270
U1,43.6372,65.1766,TopLayer,270
D13,22.1107,84.8613,TopLayer,90
C81,33.7693,87.757,TopLayer,90
C69,24.0158,86.8808,TopLayer,90
JP1,107.2896,53.7972,TopLayer,90
U22,106.2132,29.4039,TopLayer,90
U21,106.2132,21.248,TopLayer,90
U20,67.4273,21.248,TopLayer,90
U19,67.4273,29.4039,TopLayer,90
R54,85.0252,30.421,TopLayer,90
R46,61.8501,64.4707,TopLayer,90
U11,106.2132,26.6853,TopLayer,90
U10,106.2132,23.9667,TopLayer,90
U9,67.4273,23.9667,TopLayer,90
U8,67.4273,26.6853,TopLayer,90
R103,14.9098,80.2894,TopLayer,90
R102,17.7038,75.2728,TopLayer,90
R93,69.6182,76.4848,TopLayer,90
C39,11.6641,40.038,TopLayer,90
R2,17.6276,68.199,TopLayer,90
R91,67.9577,76.4848,TopLayer,90
R88,80.137,62.4332,TopLayer,90
R78,79.5507,76.4848,TopLayer,90
R77,77.8953,76.4848,TopLayer,90
R76,76.2399,76.4848,TopLayer,90
R75,74.5845,76.4848,TopLayer,90
C72,75.3211,62.4332,TopLayer,90
C71,71.2736,76.4848,TopLayer,90
R74,90.0739,40.0126,TopLayer,90
R72,101.0866,40.0126,TopLayer,90
R70,96.2702,30.421,TopLayer,90
R69,100.0185,30.421,TopLayer,90
R64,88.7736,30.421,TopLayer,90
R63,92.5219,30.421,TopLayer,90
R61,73.0559,40.0126,TopLayer,90
R57,84.0686,40.0126,TopLayer,90
R55,81.4343,30.421,TopLayer,90
R49,73.7987,30.421,TopLayer,90
R48,77.6039,30.421,TopLayer,90
D31,97.1731,23.241,TopLayer,90
D30,100.965,23.241,TopLayer,90
D29,89.5894,23.241,TopLayer,90
D28,93.3813,23.241,TopLayer,90
D27,82.0057,23.241,TopLayer,90
D26,85.7976,23.241,TopLayer,90
D25,74.422,23.241,TopLayer,90
D24,78.2139,23.241,TopLayer,90
C70,88.52,40.0126,TopLayer,90
C68,102.6869,40.0126,TopLayer,90
C62,71.4557,40.0126,TopLayer,90
C60,85.6689,40.0126,TopLayer,90
L1,8.636,74.1934,TopLayer,90
D23,35.814,23.241,TopLayer,90
C5,15.8241,68.0974,TopLayer,90
C13,45.8996,50.15,TopLayer,90
C14,40.639,50.1408,TopLayer,90
C21,93.793,67.4525,TopLayer,90
C28,25.8773,40.038,TopLayer,90
C37,52.99,50.1453,TopLayer,90
C41,33.6522,80.2388,TopLayer,90
C43,52.2457,84.1197,TopLayer,90
C44,46.6219,84.116,TopLayer,90
C51,43.0223,40.038,TopLayer,90
C53,28.8091,40.038,TopLayer,90
D2,8.9044,84.8613,TopLayer,90
D14,16.764,23.241,TopLayer,90
D15,12.954,23.241,TopLayer,90
D16,24.384,23.241,TopLayer,90
D17,20.574,23.241,TopLayer,90
D20,32.004,23.241,TopLayer,90
D21,28.194,23.241,TopLayer,90
D22,39.624,23.241,TopLayer,90
L3,8.6614,61.0616,TopLayer,90
J3,26.335,12.395,TopLayer,90
J4,87.8078,12.395,TopLayer,90
R8,94.6926,71.1983,TopLayer,90
R21,12.3307,30.421,TopLayer,90
R26,23.7112,30.421,TopLayer,90
R27,19.9663,30.421,TopLayer,90
R29,24.277,40.038,TopLayer,90
R31,13.2643,40.038,TopLayer,90
R33,27.5677,30.421,TopLayer,90
R38,38.9928,30.421,TopLayer,90
R39,35.17,30.421,TopLayer,90
R41,41.422,40.038,TopLayer,90
R43,30.4093,40.038,TopLayer,90
C12,38.4373,84.116,TopLayer,90
R47,40.7399,80.2124,TopLayer,90
